"time [mins]","a [μm]","b [μm]","x0 [μm]","y0 [μm]","θ [radians]"
0.0,72.50129224500203,75.85157252338503,2.941476898952632,5.0550683829050165,-0.24364054406005944
0.25210084033613445,75.83336276965323,72.32852549385174,3.006651022709625,6.288268350175655,1.3962767158797593
0.5042016806722689,75.58752783586542,72.4135248258639,2.9162379724737675,6.240027329337108,1.3641197608920292
0.7563025210084033,76.03697315531176,72.33584252442883,2.8645880013991656,5.6682066178837065,1.3609833597175174
1.0084033613445378,75.71402575895847,72.34875232178422,3.2319579243204584,6.79375676816388,1.3752106891208566
1.2605042016806722,76.03179352870632,72.57780556122242,2.9438032571148067,5.2300071213106785,1.3593414207266883
1.5126050420168067,76.05046797462674,72.3895398563016,3.273398592969449,6.03698249568976,1.4220869372652323
1.7647058823529411,75.79318610207102,72.60906080731532,3.06947877643305,5.533939123626501,1.3628060371473167
2.0168067226890756,76.12502753167959,72.87972833467039,2.7060999847496228,4.653908321257382,1.3148472707791652
2.26890756302521,75.52781683145315,72.9733310855449,2.6098945786648993,5.747686014691927,1.2890849980629944
2.5210084033613445,75.66021705943584,73.14086115072156,1.296767505146611,3.772601295672148,1.111587974200246
2.773109243697479,74.23223364933042,76.24861396887087,0.0952067133896777,4.914055225611024,-1.0333327039833038
3.0252100840336134,76.96423388825224,72.84265659141948,-2.038541463021898,1.558413947923862,0.1605363812240233
3.2773109243697482,71.58356611237191,77.19093771334161,-4.946226892071225,0.957287316747567,-1.4207528725434875
3.5294117647058822,73.44853882281207,76.79361394379693,-6.276729497148845,0.8515123151464699,-1.2307259128983234
3.7815126050420167,74.36481811269073,76.15798373139886,-6.066791978957165,1.2615438719461989,-0.5011931344388305
4.033613445378151,73.18841425968783,76.83789734411354,-6.186736087306388,3.2431202975557163,-0.07001201760893067
4.2857142857142865,71.47012079925071,77.24053740978417,-5.852011773030078,1.1360695760621264,0.06876482807188987
4.53781512605042,70.79946231397838,78.71570281697896,-7.364518232091823,2.406709746932266,-0.015068642672609711
4.7899159663865545,69.86764240319485,78.95204079022257,-7.491708380389449,3.818460826694751,-0.06349495263005303
5.042016806722689,70.58044299330321,78.45327856917659,-7.214957314306216,2.9588315065398416,-0.08776970527711146
5.294117647058823,71.99121877459199,77.76570259875851,-5.836066612290879,4.086128619520659,-0.13695591071597515
5.546218487394958,73.26528541455639,76.37295488853559,-5.682096884970725,3.869824226409313,-0.19552638182143695
5.798319327731092,73.57877002561746,75.93157238677277,-5.572639171920333,3.1131269710147316,-0.18249986544878946
6.050420168067227,73.70258767478259,75.8260101801728,-5.5265195279716615,2.705863751699567,-0.023926386269636318
6.302521008403361,73.89424635302215,76.00625363375185,-5.828486199067776,2.23134738132219,-0.0036734733541641117
6.5546218487394965,74.31943793207549,76.11435824274938,-5.431294220675067,2.052265873306897,0.08333904191595194
6.80672268907563,74.77087441766432,76.23606107435208,-5.660641612337439,2.365249256170218,-0.23111628753773972
7.0588235294117645,74.91911011083651,76.21838649694402,-5.362928217537877,2.1882366612568287,-0.11200487501652723
7.310924369747899,75.24311018122448,76.07023902661014,-5.36920370831943,2.5732989180873345,-0.25517426619689676
7.563025210084033,75.28913877899011,75.9164825128421,-5.624261535216265,1.8973921237894567,-0.5403587342119638
7.815126050420168,75.46915823484926,75.66982014076451,-5.4468225195690225,1.3528834344890817,0.5242888621499509
8.067226890756302,75.3892061494276,75.90242761422823,-5.980866190314401,1.920092774959657,-1.473906958669411
8.319327731092438,75.16477083396869,75.66895370123937,-5.462284056804678,1.1581826430612503,-0.29500436381486467
8.571428571428573,75.25227780608866,75.52997486164139,-6.00427960738738,1.3965717418083958,-0.3934742128107327
8.823529411764705,74.9880341669253,75.79061728984595,-5.919028478235264,0.8124366685556971,-0.10544021507864222
9.07563025210084,74.9154188462136,75.99067405663126,-5.696849374226724,1.0069839963457539,0.08958240029976114
9.327731092436975,75.0623686290884,76.16101853871548,-5.744736753721393,0.9907931892548482,-0.010359402892213623
9.579831932773109,74.89519968265591,76.26261392040814,-5.288323557525684,1.0928078073270413,0.03554084727694693
9.831932773109243,75.11408348344249,76.49033882293718,-4.8959129574160105,1.378487806582018,0.10092662994333929
10.084033613445378,75.31573578440161,76.66627871112952,-4.779129133758309,1.5578527316788418,-0.06012527529424075
10.336134453781513,75.71004068376563,76.6803643192699,-3.897591014396539,1.06980528156865,0.08173356600852064
10.588235294117647,75.68143376904614,76.17395019534369,-4.451125331676538,1.0477263046084113,0.3597859730934834
10.840336134453782,75.62080386730362,76.2734828126246,-4.605603858372895,0.3140158267931938,1.3941159669858136
11.092436974789916,74.75409499208833,77.1783885028857,-4.017535895563591,1.0088603149838606,-1.479502647206961
11.344537815126051,73.75666141215021,78.25014994662838,-3.4297827796329132,1.8492212626393831,-1.434945384566874
11.596638655462185,73.66939799847047,78.59223841603203,-3.7449691049679488,1.6432298641838252,-1.4007658038233624
11.84873949579832,73.85002037376121,78.35426451374164,-4.262053204934324,1.2778958672889482,-1.4180931863477277
12.100840336134453,73.66911880092326,78.07410165333101,-4.01915600964628,1.0017606060196853,-1.4412350855487024
12.352941176470587,74.1147902910184,77.62950227819253,-4.228987479111864,1.692067477801585,-1.4205743189746514
12.605042016806722,75.25972216160045,75.67431837673037,-4.161996450553692,2.002568332367552,-1.5000563117412637
12.857142857142858,75.78124881620448,76.05213514170613,-4.729243333287526,1.4727589937768033,-0.04437686341774372
13.109243697478993,75.1727733994173,76.30347440169365,-4.243933009833994,0.7767339657149509,0.22209226198487192
