"time [mins]","M [μm]","U [μm]"
0.0,189.8073759402401,188.20068438705758
0.25210084033613445,189.80252139665163,188.590532557638
0.5042016806722689,189.83084104811576,189.0280627865294
0.7563025210084033,189.96102498825906,189.1822977652474
1.0084033613445378,189.3604378496495,188.53223571609365
1.2605042016806722,190.01085198069637,188.64570865210047
1.5126050420168067,189.59410766614718,188.8883104169658
1.7647058823529411,189.7454547461805,188.49979399366177
2.0168067226890756,190.34503584362534,188.96386077858295
2.26890756302521,189.83080222045152,188.7838791968285
2.5210084033613445,190.8189190774784,190.03201206911302
2.773109243697479,191.9116791999058,191.17949767949688
3.0252100840336134,190.2315264417456,185.69769080306168
3.2773109243697482,190.77857811508673,182.95347248131327
3.5294117647058822,192.08457488426308,180.76126869390384
3.7815126050420167,192.36800326831266,178.00574390626036
4.033613445378151,193.99932437902075,179.89565650094997
4.2857142857142865,193.63937633125946,176.78388270286393
4.53781512605042,199.8983553680937,178.2840210775093
4.7899159663865545,201.78115239734282,179.72999615552757
5.042016806722689,200.93398609652456,179.998693771175
5.294117647058823,199.61273425341543,178.6161844280913
5.546218487394958,200.8665447476147,180.84582024220475
5.798319327731092,198.81086498471686,181.97867143743576
6.050420168067227,198.64026744573664,182.6019458640743
6.302521008403361,199.20993896631737,183.26532356203242
6.5546218487394965,198.40704862423627,183.54091990004457
6.80672268907563,199.54721350654813,184.41918259356572
7.0588235294117645,198.36828298205904,184.89456313365858
7.310924369747899,197.5172617601929,185.83096822342046
7.563025210084033,196.40521102110057,186.49562990277383
7.815126050420168,194.89850634020735,186.31642833107813
8.067226890756302,195.2407074144158,187.26723567269588
8.319327731092438,193.77502878248524,187.02894062677373
8.571428571428573,194.52171163005724,188.56954346224146
8.823529411764705,194.54064771264785,188.65464186833216
9.07563025210084,194.49314859063946,189.4046422657904
9.327731092436975,195.38204459108957,189.10263552620907
9.579831932773109,195.16047555412877,189.69994483983777
9.831932773109243,195.16789812267726,190.36703415615955
10.084033613445378,195.76951939675934,190.0073863338923
10.336134453781513,194.86158418111586,188.77959592708444
10.588235294117647,195.50915830389118,187.94816190907616
10.840336134453782,195.81038722208083,188.94060293769053
11.092436974789916,195.4469010656999,188.984249369893
11.344537815126051,194.14774500850513,190.6481669663845
11.596638655462185,194.3770923318881,192.62710211506433
11.84873949579832,195.54726697600117,193.831242508177
12.100840336134453,194.23426663357088,193.4700899251074
12.352941176470587,193.22068390031265,192.188156000734
12.605042016806722,193.22661940214186,191.15135323238246
12.857142857142858,194.78416579417674,189.55541778558268
13.109243697478993,194.55122965507869,188.33307657938983
13.361344537815125,194.32474262765243,187.5580991551188
13.61344537815126,194.00885563613863,187.2260783180858
13.865546218487395,193.57938855940844,186.88639123457418
14.117647058823529,193.92100426311316,186.32597918357501
14.369747899159663,192.17356016628275,184.5066749497621
14.621848739495798,191.99957657254114,186.85404753895588
14.873949579831933,192.756201145849,185.086618588082
15.126050420168067,191.8570287295705,183.7361990174679
15.378151260504202,192.3177739820679,184.79105081058523
15.630252100840336,191.478795879551,184.9537893790106
15.882352941176471,192.2584804823593,185.23333371035298
16.134453781512605,191.1925528085118,185.77160973692096
16.386554621848738,191.751583215562,187.80671110190178
16.638655462184875,190.65113745304458,187.8918866424741
16.89075630252101,190.70899389114743,186.96722657835485
17.142857142857146,191.07295503341643,186.98194954598333
17.394957983193276,192.62267046670132,186.84916496854146
17.64705882352941,191.1365475165378,185.76519851860076
17.899159663865547,190.87734306239153,186.54667685745238
18.15126050420168,190.66283645541685,186.08653911621937
18.403361344537814,191.26309551384688,186.60044209127457
18.65546218487395,190.85181799223477,187.30100495804692
18.907563025210084,191.40140579524663,188.45975350086957
19.159663865546218,191.16645295298375,188.48008528528715
19.411764705882355,191.39922626752795,188.45988932106815
19.663865546218485,190.7069523392867,187.8818269948899
19.915966386554622,190.99480005207,186.9751098118192
20.168067226890756,191.6023692399694,187.52467021307578
20.42016806722689,192.5068712776351,187.18491578757636
20.672268907563026,190.5222711590774,186.37794933555313
20.92436974789916,189.68023461202876,185.59454176478087
21.176470588235293,190.29870690163986,184.46788680132371
21.42857142857143,190.32976629466538,185.21258337262142
21.680672268907564,190.38124496779218,186.31331915580412
21.932773109243694,189.55721651976592,185.95926261870213
22.18487394957983,191.09113299511918,185.4505912747841
22.436974789915965,189.50532001958635,186.07129287453597
22.689075630252102,189.688987133867,185.21634834575968
22.941176470588236,190.68409224009022,184.81357967846364
23.19327731092437,189.73532899512955,184.34033863981338
23.445378151260506,189.61685632322977,184.21871831678743
23.69747899159664,189.96946587075055,184.2272481407855
23.949579831932773,190.1874269309117,183.74341294341696
24.201680672268907,189.9190453128961,183.82306145699957
24.45378151260504,189.7310771469503,184.3868918669939
24.705882352941174,191.76991797062868,185.2193784063128
24.95798319327731,191.73226078359255,185.16790323537788
25.210084033613445,191.91359128929585,183.10726045819192
25.462184873949578,191.70274818389888,183.49237781234967
25.714285714285715,191.6463612987273,184.19604645468814
25.96638655462185,192.2211328089796,184.40915267070818
26.218487394957986,192.02598386043113,184.25850033110962
26.470588235294116,193.2043314486759,184.3086418229154
26.72268907563025,192.06189699726355,184.23126727818862
26.974789915966387,192.81465887364368,184.10901554748304
27.22689075630252,192.79870342885968,185.15792264743126
27.478991596638654,192.76572048170007,186.07807454402047
27.73109243697479,192.71087592056685,187.1716318081396
27.983193277310924,192.82017476705764,188.3838479182551
28.235294117647058,192.6922438364286,188.1907347043532
28.487394957983195,191.94202360731722,187.2375503232424
28.739495798319325,192.4050021759212,187.68392892527802
28.991596638655462,191.59841141044058,187.60312395196706
29.243697478991596,191.4727086724644,189.00285627670175
29.49579831932773,190.90839715781425,189.9754016235746
29.747899159663866,191.67555966217088,186.43893418156696
30.0,192.36725730089248,186.4702841752879
